address,zip,town,suspected_lead,psl_materials,psl_other,service_line,csl_other
1 ALEXANDER AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
1 ALEXANDER COURT,07043,MONTCLAIR,N,C,NA,C,NA
1 AMHERST PLACE,07043,MONTCLAIR,N,C,NA,C,NA
1 ARGYLE ROAD,07043,MONTCLAIR,Y,C,NA,G,NA
1 BERKELEY PLACE,07042,MONTCLAIR,N,C,NA,C,NA
1 BRIAR HILL ROAD,07042,MONTCLAIR,N,C,NA,C,NA
1 BELVIDERE PLACE,07042,MONTCLAIR,N,C,NA,C,NA
1 BRUNSWICK ROAD,07042,MONTCLAIR,Y,C,NA,G,NA
1 CANTERBURY DRIVE,07042,MONTCLAIR,N,C,NA,C,NA
1 CAPRON LANE,07043,MONTCLAIR,N,C,NA,C,NA
1 CAROLIN ROAD,07043,MONTCLAIR,N,C,NA,C,NA
1 CARRIAGE WAY,07042,MONTCLAIR,N,C,NA,C,NA
1 CENTRAL AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
1 CHAMPLAIN TERRACE,07042,MONTCLAIR,N,C,NA,C,NA
1 CHESTER ROAD,07043,MONTCLAIR,N,C,NA,C,NA
1 CHRISTOPHER COURT,07042,MONTCLAIR,N,C,NA,C,NA
1 CLAREMONT PLACE,07042,MONTCLAIR,N,C,NA,C,NA
1 CLINTON AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
1 CLOVERHILL PLACE,07042,MONTCLAIR,N,C,NA,C,NA
1 CORNELL WAY,07043,MONTCLAIR,N,C,NA,C,NA
1 CAREY COURT,07042,MONTCLAIR,N,C,NA,C,NA
1 CLAIRIDGE COURT,07042,MONTCLAIR,N,C,NA,C,NA
1 COLUMBUS AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
1 DURYEA ROAD,07043,MONTCLAIR,N,C,NA,C,NA
1 DODD STREET,07042,MONTCLAIR,Y,C,NA,L,NA
1 EDGECLIFF ROAD,07043,MONTCLAIR,N,C,NA,C,NA
1 EDGEWOOD TER,07042,MONTCLAIR,N,C,NA,C,NA
1 ELIZABETH ROAD,07043,MONTCLAIR,N,C,NA,C,NA
1 EMERSON PLACE,07043,MONTCLAIR,N,C,NA,C,NA
1 ERWIN PARK ROAD,07042,MONTCLAIR,N,C,NA,C,NA
1 ESSEX WAY,07042,MONTCLAIR,N,C,NA,C,NA
1 FERNCLIFF TERRACE,07042,MONTCLAIR,N,C,NA,C,NA
1 FERNWOOD PLACE,07043,MONTCLAIR,N,C,NA,C,NA
1 FESSLER PLACE 1ST,07042,MONTCLAIR,N,C,NA,C,NA
1 FESSLER PLACE 2ND,07042,MONTCLAIR,N,C,NA,C,NA
1 FAIRMOUNT AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
1 GATES AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
1 GLENRIDGE PARKWAY,07042,MONTCLAIR,N,C,NA,C,NA
1 GRANT STREET,07042,MONTCLAIR,N,C,NA,C,NA
1 GREENVIEW WAY,07043,MONTCLAIR,N,C,NA,C,NA
1 HAMILTON TERRACE,07043,MONTCLAIR,N,C,NA,C,NA
1 HAWTHORNE PLACE,07042,MONTCLAIR,N,C,NA,C,NA
1 HILLTOP PLACE,07042,MONTCLAIR,N,C,NA,C,NA
1 HARVARD STREET,07042,MONTCLAIR,Y,C,NA,UX,NA
1 HIGHLAND TERRACE,07043,MONTCLAIR,N,C,NA,C,NA
1 KENNETH ROAD,07043,MONTCLAIR,N,C,NA,C,NA
1 KIPS RIDGE,07044,MONTCLAIR,N,C,NA,C,NA
1 LACKAWANNA PLAZA,07042,MONTCLAIR,N,C,NA,C,NA
1 LANSING PLACE,07043,MONTCLAIR,N,C,NA,C,NA
1 LASALLE ROAD,07043,MONTCLAIR,N,C,NA,C,NA
1 LAUREL PLACE,07043,MONTCLAIR,N,C,NA,C,NA
1 LEWIS COURT,07042,MONTCLAIR,N,C,NA,C,NA
1 LINDEN AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
1 MANOR COURT,07042,MONTCLAIR,N,C,NA,C,NA
1 MARQUETTE ROAD,07043,MONTCLAIR,N,C,NA,C,NA
1 MCDONOUGH STREET,07042,MONTCLAIR,N,C,NA,C,NA
1 MENDL TERRACE,07042,MONTCLAIR,N,C,NA,C,NA
1 MOUNTAIN PLACE 1ST,07043,MONTCLAIR,N,C,NA,C,NA
1 MOUNTAIN PLACE 2ND FL,07043,MONTCLAIR,N,C,NA,C,NA
1 MUNN STREET,07042,MONTCLAIR,N,C,NA,C,NA
1 MOUNT VERNON ROAD,07043,MONTCLAIR,Y,C,NA,C,NA
1 N BROOKWOOD DRIVE,07042,MONTCLAIR,N,C,NA,C,NA
1 NASSAU ROAD,07043,MONTCLAIR,N,C,NA,C,NA
1 ORCHARD COURT,07042,MONTCLAIR,N,C,NA,C,NA
1 PINE STREET,07042,MONTCLAIR,N,C,NA,C,NA
1 PRESTON PLACE,07043,MONTCLAIR,N,C,NA,C,NA
1 RUTGERS PLACE,07043,MONTCLAIR,N,C,NA,C,NA
1 RIVERVIEW DRIVE W,07043,MONTCLAIR,N,C,NA,C,NA
1 RUSSELL TERRACE,07042,MONTCLAIR,N,C,NA,C,NA
1 RYDAL PLACE 1ST,07042,MONTCLAIR,Y,C,NA,G,NA
1 RYDAL PLACE 2ND,07042,MONTCLAIR,Y,C,NA,L,NA
1 S BROOKWOOD DRIVE,07042,MONTCLAIR,N,C,NA,C,NA
1 S MOUNTAIN TERRACE,07042,MONTCLAIR,N,C,NA,C,NA
1 SENECA PLACE,07043,MONTCLAIR,N,C,NA,C,NA
1 SEYMOUR PLAZA,07042,MONTCLAIR,N,C,NA,C,NA
1 STONEBRIDGE ROAD,07042,MONTCLAIR,Y,C,NA,G,NA
1 SUTHERLAND ROAD,07042,MONTCLAIR,Y,C,NA,L,NA
1 SYLVAN PLACE,07042,MONTCLAIR,N,C,NA,C,NA
1 THE CRESCENT,07042,MONTCLAIR,N,C,NA,C,NA
1 THE FAIRWAY,07043,MONTCLAIR,N,C,NA,C,NA
1 UPPER MOUNTAIN AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
1 UNION STREET,07042,MONTCLAIR,Y,G,NA,G,NA
1 VALLEY PLACE,07043,MONTCLAIR,N,C,NA,C,NA
1 WALDEN PLACE,07042,MONTCLAIR,N,C,NA,C,NA
1 WALNUT PLACE,07042,MONTCLAIR,N,C,NA,C,NA
1 WATCHUNG AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
1 WENDOVER ROAD,07042,MONTCLAIR,N,C,NA,C,NA
1 WILFRED STREET,07042,MONTCLAIR,N,C,NA,C,NA
1 WILLARD PLACE,07042,MONTCLAIR,N,C,NA,C,NA
1 WILLIAM STREET,07042,MONTCLAIR,N,C,NA,C,NA
1 WINDEMERE ROAD,07043,MONTCLAIR,N,C,NA,C,NA
1 WOODLAND AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
1 WOODLAND AVENUE (89 MAPLE,07042,MONTCLAIR,N,C,NA,C,NA
1 WARREN PLACE,07042,MONTCLAIR,N,C,NA,C,NA
1 YALE TERRACE,07042,MONTCLAIR,Y,C,NA,G,NA
1-11 GREENWOOD AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
10 ALDEN ROAD,07042,MONTCLAIR,N,C,NA,C,NA
10 ALEXANDER AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
10 AMELIA STREET,07042,MONTCLAIR,N,C,NA,C,NA
10 APPLETON PLACE,07043,MONTCLAIR,N,C,NA,C,NA
10 AUBREY ROAD,07043,MONTCLAIR,N,C,NA,C,NA
10 ARGYLE ROAD,07043,MONTCLAIR,N,C,NA,C,NA
10 BELLEGROVE DRIVE,07043,MONTCLAIR,N,C,NA,C,NA
10 BELVIDERE PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 BERKELEY PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 BRADFORD AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
10 BROOKFIELD ROAD,07043,MONTCLAIR,N,C,NA,C,NA
10 BRUNSWICK ROAD,07042,MONTCLAIR,N,C,NA,C,NA
10 BURNSIDE STREET,07043,MONTCLAIR,N,C,NA,C,NA
10 BELLAIRE DRIVE,07042,MONTCLAIR,N,C,NA,C,NA
10 BRADFORD WAY,07043,MONTCLAIR,N,C,NA,C,NA
10 CARRIAGE WAY,07042,MONTCLAIR,N,C,NA,C,NA
10 CARTERET STREET,07043,MONTCLAIR,N,C,NA,C,NA
10 CENTRAL AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
10 CHRISTOPHER COURT,07042,MONTCLAIR,N,C,NA,C,NA
10 CLAIRIDGE COURT,07042,MONTCLAIR,N,C,NA,C,NA
10 CLAREMONT PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 CLOVERHILL PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 COLLEGE AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
10 CORNELL WAY,07043,MONTCLAIR,N,C,NA,C,NA
10 CRESTMONT ROAD,07044,MONTCLAIR,N,C,NA,C,NA
10 CROSS STREET,07042,MONTCLAIR,N,C,NA,C,NA
10 CAPRON LANE,07043,MONTCLAIR,Y,C,NA,UX,NA
10 CAREY COURT,07042,MONTCLAIR,N,C,NA,C,NA
10 CHARLES STREET,07042,MONTCLAIR,Y,C,NA,UX,NA
10 CHESTER ROAD,07043,MONTCLAIR,N,C,NA,C,NA
10 CLINTON AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
10 COLUMBUS AVENUE,07042,MONTCLAIR,Y,C,NA,G,NA
10 CRESTVIEW COURT,07042,MONTCLAIR,N,C,NA,C,NA
10 DEPOT SQ #1 REAR,07042,MONTCLAIR,N,C,NA,C,NA
10 DEPOT SQUARE 1ST,07042,MONTCLAIR,N,C,NA,C,NA
10 DEPOT SQUARE 2-REAR,07042,MONTCLAIR,N,C,NA,C,NA
10 DEPOT SQUARE 3RD-FRONT,07042,MONTCLAIR,N,C,NA,C,NA
10 DEPOT SQUARE 3RD-REAR,07042,MONTCLAIR,N,C,NA,C,NA
10 DEPOT SQUARE-2ND,07042,MONTCLAIR,N,C,NA,C,NA
10 DURYEA ROAD,07043,MONTCLAIR,N,C,NA,C,NA
10 DRAPER TERRACE,07042,MONTCLAIR,N,C,NA,C,NA
10 EDGECLIFF ROAD,07043,MONTCLAIR,N,C,NA,C,NA
10 EDGEMONT ROAD,07042,MONTCLAIR,N,C,NA,C,NA
10 EDGEWOOD TERRACE,07042,MONTCLAIR,N,C,NA,C,NA
10 ELIZABETH ROAD,07043,MONTCLAIR,N,C,NA,C,NA
10 ELM STREET,07042,MONTCLAIR,N,C,NA,C,NA
10 EMERSON PLACE,07043,MONTCLAIR,N,C,NA,C,NA
10 EUCLID PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 ELMWOOD AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
10 ELSTON ROAD,07043,MONTCLAIR,Y,C,NA,L,NA
10 ENFIELD AVENUE,07042,MONTCLAIR,Y,C,NA,UX,NA
10 ERWIN PARK,07042,MONTCLAIR,Y,C,NA,G,NA
10 FAIRMOUNT AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
10 FAIRVIEW PLACE,07043,MONTCLAIR,N,C,NA,C,NA
10 FERNWOOD PLACE,07043,MONTCLAIR,N,C,NA,C,NA
10 FRANKLIN PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 FRIENDSHIP PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 FRINK STREET,07042,MONTCLAIR,N,C,NA,C,NA
10 FRANCIS PLACE,07042,MONTCLAIR,Y,C,NA,UX,NA
10 GARDEN STREET,07042,MONTCLAIR,N,C,NA,C,NA
