address,zip,town,address_full,suspected_lead,psl_materials,psl_other,service_line,csl_other,latitude,longitude,coord_source,flag_incomplete,latitude_adj,longitude_adj,address_full_adj
1 ALEXANDER AVENUE,7043,MONTCLAIR,"1 ALEXANDER AVENUE, MONTCLAIR, NJ, 07043",N,C,,C,,40.846594348955,-74.184035446186,census,0,40.846594348955,-74.184035446186,"1 ALEXANDER AVENUE, MONTCLAIR, NJ, 07043"
1 ALEXANDER COURT,7043,MONTCLAIR,"1 ALEXANDER COURT, MONTCLAIR, NJ, 07043",N,C,,C,,40.849950401354,-74.195338339547,census,0,40.849950401354,-74.195338339547,"1 ALEXANDER COURT, MONTCLAIR, NJ, 07043"
1 AMHERST PLACE,7043,MONTCLAIR,"1 AMHERST PLACE, MONTCLAIR, NJ, 07043",N,C,,C,,40.856100768787,-74.201105418909,census,0,40.856100768787,-74.201105418909,"1 AMHERST PLACE, MONTCLAIR, NJ, 07043"
1 ARGYLE ROAD,7043,MONTCLAIR,"1 ARGYLE ROAD, MONTCLAIR, NJ, 07043",Y,C,,G,,40.835566951844,-74.194835280621,census,0,40.835566951844,-74.194835280621,"1 ARGYLE ROAD, MONTCLAIR, NJ, 07043"
1 BERKELEY PLACE,7042,MONTCLAIR,"1 BERKELEY PLACE, MONTCLAIR, NJ, 07042",N,C,,C,,40.828741500889,-74.21440157068,census,0,40.828741500889,-74.21440157068,"1 BERKELEY PLACE, MONTCLAIR, NJ, 07042"
1 BRIAR HILL ROAD,7042,MONTCLAIR,"1 BRIAR HILL ROAD, MONTCLAIR, NJ, 07042",N,C,,C,,40.802571342428,-74.234632714924,census,0,40.802571342428,-74.234632714924,"1 BRIAR HILL ROAD, MONTCLAIR, NJ, 07042"
1 BELVIDERE PLACE,7042,MONTCLAIR,"1 BELVIDERE PLACE, MONTCLAIR, NJ, 07042",N,C,,C,,40.824538425165,-74.217551984528,census,0,40.824538425165,-74.217551984528,"1 BELVIDERE PLACE, MONTCLAIR, NJ, 07042"
1 BRUNSWICK ROAD,7042,MONTCLAIR,"1 BRUNSWICK ROAD, MONTCLAIR, NJ, 07042",Y,C,,G,,40.825735300357,-74.212202148291,census,0,40.825735300357,-74.212202148291,"1 BRUNSWICK ROAD, MONTCLAIR, NJ, 07042"
1 CANTERBURY DRIVE,7042,MONTCLAIR,"1 CANTERBURY DRIVE, MONTCLAIR, NJ, 07042",N,C,,C,,40.793106298706,-74.218038329706,census,0,40.793106298706,-74.218038329706,"1 CANTERBURY DRIVE, MONTCLAIR, NJ, 07042"
1 CAPRON LANE,7043,MONTCLAIR,"1 CAPRON LANE, MONTCLAIR, NJ, 07043",N,C,,C,,40.846551271767,-74.190052022867,census,0,40.846551271767,-74.190052022867,"1 CAPRON LANE, MONTCLAIR, NJ, 07043"
1 CAROLIN ROAD,7043,MONTCLAIR,"1 CAROLIN ROAD, MONTCLAIR, NJ, 07043",N,C,,C,,40.833557221116,-74.196748786782,census,0,40.833557221116,-74.196748786782,"1 CAROLIN ROAD, MONTCLAIR, NJ, 07043"
1 CARRIAGE WAY,7042,MONTCLAIR,"1 CARRIAGE WAY, MONTCLAIR, NJ, 07042",N,C,,C,,40.816769012064,-74.22615007531,census,0,40.816769012064,-74.22615007531,"1 CARRIAGE WAY, MONTCLAIR, NJ, 07042"
1 CENTRAL AVENUE,7042,MONTCLAIR,"1 CENTRAL AVENUE, MONTCLAIR, NJ, 07042",N,C,,C,,40.82020860112,-74.2178921112,census,0,40.82020860112,-74.2178921112,"1 CENTRAL AVENUE, MONTCLAIR, NJ, 07042"
1 CHAMPLAIN TERRACE,7042,MONTCLAIR,"1 CHAMPLAIN TERRACE, MONTCLAIR, NJ, 07042",N,C,,C,,40.824728285294,-74.205532632563,census,0,40.824728285294,-74.205532632563,"1 CHAMPLAIN TERRACE, MONTCLAIR, NJ, 07042"
1 CHESTER ROAD,7043,MONTCLAIR,"1 CHESTER ROAD, MONTCLAIR, NJ, 07043",N,C,,C,,40.833416741478,-74.196642009971,census,0,40.833416741478,-74.196642009971,"1 CHESTER ROAD, MONTCLAIR, NJ, 07043"
1 CHRISTOPHER COURT,7042,MONTCLAIR,"1 CHRISTOPHER COURT, MONTCLAIR, NJ, 07042",N,C,,C,,40.828833304682,-74.199743958131,census,0,40.828833304682,-74.199743958131,"1 CHRISTOPHER COURT, MONTCLAIR, NJ, 07042"
1 CLAREMONT PLACE,7042,MONTCLAIR,"1 CLAREMONT PLACE, MONTCLAIR, NJ, 07042",N,C,,C,,40.813002974109,-74.208886729025,census,0,40.813002974109,-74.208886729025,"1 CLAREMONT PLACE, MONTCLAIR, NJ, 07042"
1 CLINTON AVENUE,7042,MONTCLAIR,"1 CLINTON AVENUE, MONTCLAIR, NJ, 07042",N,C,,C,,40.813677205043,-74.225646235115,census,0,40.813677205043,-74.225646235115,"1 CLINTON AVENUE, MONTCLAIR, NJ, 07042"
1 CLOVERHILL PLACE,7042,MONTCLAIR,"1 CLOVERHILL PLACE, MONTCLAIR, NJ, 07042",N,C,,C,,40.810547339524,-74.210319344794,census,0,40.810547339524,-74.210319344794,"1 CLOVERHILL PLACE, MONTCLAIR, NJ, 07042"
1 CORNELL WAY,7043,MONTCLAIR,"1 CORNELL WAY, MONTCLAIR, NJ, 07043",N,C,,C,,40.842441185938,-74.187384972122,census,0,40.842441185938,-74.187384972122,"1 CORNELL WAY, MONTCLAIR, NJ, 07043"
1 CAREY COURT,7042,MONTCLAIR,"1 CAREY COURT, MONTCLAIR, NJ, 07042",N,C,,C,,40.800275632907,-74.218874300807,census,0,40.800275632907,-74.218874300807,"1 CAREY COURT, MONTCLAIR, NJ, 07042"
1 CLAIRIDGE COURT,7042,MONTCLAIR,"1 CLAIRIDGE COURT, MONTCLAIR, NJ, 07042",N,C,,C,,40.82715870218,-74.199007581323,census,0,40.82715870218,-74.199007581323,"1 CLAIRIDGE COURT, MONTCLAIR, NJ, 07042"
1 COLUMBUS AVENUE,7042,MONTCLAIR,"1 COLUMBUS AVENUE, MONTCLAIR, NJ, 07042",N,C,,C,,40.819459845435,-74.200103973009,census,0,40.819459845435,-74.200103973009,"1 COLUMBUS AVENUE, MONTCLAIR, NJ, 07042"
1 DURYEA ROAD,7043,MONTCLAIR,"1 DURYEA ROAD, MONTCLAIR, NJ, 07043",N,C,,C,,40.841528656458,-74.202366752747,census,0,40.841528656458,-74.202366752747,"1 DURYEA ROAD, MONTCLAIR, NJ, 07043"
