address,zip,town,suspected_lead,psl_materials,psl_other,service_line,csl_other
1 ALEXANDER AVENUE,07043,Montclair,N,C,,C,
1 ALEXANDER COURT,07043,Montclair,N,C,,C,
1 AMHERST PLACE,07043,Montclair,N,C,,C,
1 Argyle Road,07043,Montclair,Y,C,,G,
1 BERKELEY PLACE,07042,Montclair,N,C,,C,
1 BRIAR HILL ROAD,07042,Montclair,N,C,,C,
1 Belvidere Place,07042,Montclair,N,C,,C,
1 Brunswick Road,07042,Montclair,Y,C,,G,
1 CANTERBURY DRIVE,07042,Montclair,N,C,,C,
1 CAPRON LANE,07043,Montclair,N,C,,C,
1 CAROLIN ROAD,07043,Montclair,N,C,,C,
1 CARRIAGE WAY,07042,Montclair,N,C,,C,
1 CENTRAL AVENUE,07042,Montclair,N,C,,C,
1 CHAMPLAIN TERRACE,07042,Montclair,N,C,,C,
1 CHESTER ROAD,07043,Montclair,N,C,,C,
1 CHRISTOPHER COURT,07042,Montclair,N,C,,C,
1 CLAREMONT PLACE,07042,Montclair,N,C,,C,
1 CLINTON AVENUE,07042,Montclair,N,C,,C,
1 CLOVERHILL PLACE,07042,Montclair,N,C,,C,
1 CORNELL WAY,07043,Montclair,N,C,,C,
1 Carey Court,07042,Montclair,N,C,,C,
1 Clairidge Court,07042,Montclair,N,C,,C,
1 Columbus Avenue,07042,Montclair,N,C,,C,
1 DURYEA ROAD,07043,Montclair,N,C,,C,
1 Dodd Street,07042,Montclair,Y,C,,L,
1 EDGECLIFF ROAD,07043,Montclair,N,C,,C,
1 EDGEWOOD TER,07042,Montclair,N,C,,C,
1 ELIZABETH ROAD,07043,Montclair,N,C,,C,
1 EMERSON PLACE,07043,Montclair,N,C,,C,
1 ERWIN PARK ROAD,07042,Montclair,N,C,,C,
1 ESSEX WAY,07042,Montclair,N,C,,C,
1 FERNCLIFF TERRACE,07042,Montclair,N,C,,C,
1 FERNWOOD PLACE,07043,Montclair,N,C,,C,
1 FESSLER PLACE 1ST,07042,Montclair,N,C,,C,
1 FESSLER PLACE 2ND,07042,Montclair,N,C,,C,
1 Fairmount Avenue,07043,Montclair,N,C,,C,
1 GATES AVENUE,07042,Montclair,N,C,,C,
1 GLENRIDGE PARKWAY,07042,Montclair,N,C,,C,
1 GRANT STREET,07042,Montclair,N,C,,C,
1 Greenview Way,07043,Montclair,N,C,,C,
1 HAMILTON TERRACE,07043,Montclair,N,C,,C,
1 HAWTHORNE PLACE,07042,Montclair,N,C,,C,
1 HILLTOP PLACE,07042,Montclair,N,C,,C,
1 Harvard Street,07042,Montclair,Y,C,,UX,
1 Highland Terrace,07043,Montclair,N,C,,C,
1 KENNETH ROAD,07043,Montclair,N,C,,C,
1 KIPS RIDGE,07044,Montclair,N,C,,C,
1 LACKAWANNA PLAZA,07042,Montclair,N,C,,C,
1 LANSING PLACE,07043,Montclair,N,C,,C,
1 LASALLE ROAD,07043,Montclair,N,C,,C,
1 LAUREL PLACE,07043,Montclair,N,C,,C,
1 LEWIS COURT,07042,Montclair,N,C,,C,
1 Linden Avenue,07042,Montclair,N,C,,C,
1 MANOR COURT,07042,Montclair,N,C,,C,
1 MARQUETTE ROAD,07043,Montclair,N,C,,C,
1 MCDONOUGH STREET,07042,Montclair,N,C,,C,
1 MENDL TERRACE,07042,Montclair,N,C,,C,
1 MOUNTAIN PLACE 1ST,07043,Montclair,N,C,,C,
1 MOUNTAIN PLACE 2ND FL,07043,Montclair,N,C,,C,
1 MUNN STREET,07042,Montclair,N,C,,C,
1 Mount Vernon Road,07043,Montclair,Y,C,,C,
1 N BROOKWOOD DRIVE,07042,Montclair,N,C,,C,
1 NASSAU ROAD,07043,Montclair,N,C,,C,
1 ORCHARD COURT,07042,Montclair,N,C,,C,
1 PINE STREET,07042,Montclair,N,C,,C,
1 PRESTON PLACE,07043,Montclair,N,C,,C,
1 RUTGERS PLACE,07043,Montclair,N,C,,C,
1 Riverview Drive W,07043,Montclair,N,C,,C,
1 Russell Terrace,07042,Montclair,N,C,,C,
1 Rydal Place 1ST,07042,Montclair,Y,C,,G,
1 Rydal Place 2ND,07042,Montclair,Y,C,,L,
1 S BROOKWOOD DRIVE,07042,Montclair,N,C,,C,
1 S MOUNTAIN TERRACE,07042,Montclair,N,C,,C,
1 SENECA PLACE,07043,Montclair,N,C,,C,
1 SEYMOUR PLAZA,07042,Montclair,N,C,,C,
1 Stonebridge Road,07042,Montclair,Y,C,,G,
1 Sutherland Road,07042,Montclair,Y,C,,L,
1 Sylvan Place,07042,Montclair,N,C,,C,
1 THE CRESCENT,07042,Montclair,N,C,,C,
1 THE FAIRWAY,07043,Montclair,N,C,,C,
1 UPPER MOUNTAIN AVENUE,07042,Montclair,N,C,,C,
1 Union Street,07042,Montclair,Y,G,,G,
1 VALLEY PLACE,07043,Montclair,N,C,,C,
1 WALDEN PLACE,07042,Montclair,N,C,,C,
1 WALNUT PLACE,07042,Montclair,N,C,,C,
1 WATCHUNG AVENUE,07043,Montclair,N,C,,C,
1 WENDOVER ROAD,07042,Montclair,N,C,,C,
1 WILFRED STREET,07042,Montclair,N,C,,C,
1 WILLARD PLACE,07042,Montclair,N,C,,C,
1 WILLIAM STREET,07042,Montclair,N,C,,C,
1 WINDEMERE ROAD,07043,Montclair,N,C,,C,
1 WOODLAND AVENUE,07042,Montclair,N,C,,C,
1 WOODLAND AVENUE (89 MAPLE,07042,Montclair,N,C,,C,
1 Warren Place,07042,Montclair,N,C,,C,
1 Yale Terrace,07042,Montclair,Y,C,,G,
1-11 GREENWOOD AVENUE,07042,Montclair,N,C,,C,
10 ALDEN ROAD,07042,Montclair,N,C,,C,
10 ALEXANDER AVENUE,07043,Montclair,N,C,,C,
10 AMELIA STREET,07042,Montclair,N,C,,C,
10 APPLETON PLACE,07043,Montclair,N,C,,C,
10 AUBREY ROAD,07043,Montclair,N,C,,C,
10 Argyle Road,07043,Montclair,N,C,,C,
10 BELLEGROVE DRIVE,07043,Montclair,N,C,,C,
10 BELVIDERE PLACE,07042,Montclair,N,C,,C,
10 BERKELEY PLACE,07042,Montclair,N,C,,C,
10 BRADFORD AVENUE,07043,Montclair,N,C,,C,
10 BROOKFIELD ROAD,07043,Montclair,N,C,,C,
10 BRUNSWICK ROAD,07042,Montclair,N,C,,C,
10 BURNSIDE STREET,07043,Montclair,N,C,,C,
10 Bellaire Drive,07042,Montclair,N,C,,C,
10 Bradford Way,07043,Montclair,N,C,,C,
10 CARRIAGE WAY,07042,Montclair,N,C,,C,
10 CARTERET STREET,07043,Montclair,N,C,,C,
10 CENTRAL AVENUE,07042,Montclair,N,C,,C,
10 CHRISTOPHER COURT,07042,Montclair,N,C,,C,
10 CLAIRIDGE COURT,07042,Montclair,N,C,,C,
10 CLAREMONT PLACE,07042,Montclair,N,C,,C,
10 CLOVERHILL PLACE,07042,Montclair,N,C,,C,
10 COLLEGE AVENUE,07043,Montclair,N,C,,C,
10 CORNELL WAY,07043,Montclair,N,C,,C,
10 CRESTMONT ROAD,07044,Montclair,N,C,,C,
10 CROSS STREET,07042,Montclair,N,C,,C,
10 Capron Lane,07043,Montclair,Y,C,,UX,
10 Carey Court,07042,Montclair,N,C,,C,
10 Charles Street,07042,Montclair,Y,C,,UX,
10 Chester Road,07043,Montclair,N,C,,C,
10 Clinton Avenue,07042,Montclair,N,C,,C,
10 Columbus Avenue,07042,Montclair,Y,C,,G,
10 Crestview Court,07042,Montclair,N,C,,C,
10 DEPOT SQ #1 REAR,07042,Montclair,N,C,,C,
10 DEPOT SQUARE 1ST,07042,Montclair,N,C,,C,
10 DEPOT SQUARE 2-REAR,07042,Montclair,N,C,,C,
10 DEPOT SQUARE 3RD-FRONT,07042,Montclair,N,C,,C,
10 DEPOT SQUARE 3RD-REAR,07042,Montclair,N,C,,C,
10 DEPOT SQUARE-2ND,07042,Montclair,N,C,,C,
10 DURYEA ROAD,07043,Montclair,N,C,,C,
10 Draper Terrace,07042,Montclair,N,C,,C,
10 EDGECLIFF ROAD,07043,Montclair,N,C,,C,
10 EDGEMONT ROAD,07042,Montclair,N,C,,C,
10 EDGEWOOD TERRACE,07042,Montclair,N,C,,C,
10 ELIZABETH ROAD,07043,Montclair,N,C,,C,
10 ELM STREET,07042,Montclair,N,C,,C,
10 EMERSON PLACE,07043,Montclair,N,C,,C,
10 EUCLID PLACE,07042,Montclair,N,C,,C,
10 Elmwood Avenue,07042,Montclair,N,C,,C,
10 Elston Road,07043,Montclair,Y,C,,L,
10 Enfield Avenue,07042,Montclair,Y,C,,UX,
10 Erwin Park,07042,Montclair,Y,C,,G,
10 FAIRMOUNT AVENUE,07043,Montclair,N,C,,C,
10 FAIRVIEW PLACE,07043,Montclair,N,C,,C,
10 FERNWOOD PLACE,07043,Montclair,N,C,,C,
10 FRANKLIN PLACE,07042,Montclair,N,C,,C,
